"","Districte","Secció","Renda_neta_mitja_PERSONA","Renda_neta_mitja_HABITATGE","Censo","Votants","Vots","Participació","ARA PL","% ARA PL","Vots Junts","% Junts","Vots Cs","% Cs","Vots CUP","% CUP","Vots ERC","% ERC","Vots PACMA","% PACMA","Vots PCTC","% PCTC","Vots PFIV","% PFIV","Vots PP","% PP","Vots PSC","% PSC","Vots Comuns","% Comuns","Vots TxT","% TxT","Vots Valents","% Valents","Vots VOX","% VOX","Renda_persona"
"128",6,25,11.887,34.279,1441,700,692,"48.58%",0,"0.00%",13,"1.88%",14,"2.02%",10,"1.45%",49,"7.08%",15,"2.17%",1,"0.14%",1,"0.14%",43,"6.21%",161,"23.27%",50,"7.23%",202,"29.19%",3,"0.43%",123,"17.77%",11887
"129",6,26,12.228,33.156,1221,588,586,"48.16%",0,"0.00%",6,"1.02%",11,"1.88%",15,"2.56%",34,"5.80%",13,"2.22%",2,"0.34%",2,"0.34%",36,"6.14%",128,"21.84%",33,"5.63%",187,"31.91%",2,"0.34%",109,"18.60%",12228
"130",6,27,11.827,29.715,939,392,391,"41.75%",0,"0.00%",2,"0.51%",7,"1.79%",1,"0.26%",10,"2.56%",3,"0.77%",2,"0.51%",1,"0.26%",26,"6.65%",111,"28.39%",15,"3.84%",145,"37.08%",2,"0.51%",63,"16.11%",11827
"131",6,28,14.31,36.53,1195,642,636,"53.72%",0,"0.00%",4,"0.63%",8,"1.26%",3,"0.47%",51,"8.02%",10,"1.57%",1,"0.16%",0,"0.00%",57,"8.96%",170,"26.73%",44,"6.92%",188,"29.56%",3,"0.47%",95,"14.94%",14310
"132",6,29,13.53,37.317,835,403,400,"48.26%",0,"0.00%",2,"0.50%",9,"2.25%",4,"1.00%",13,"3.25%",9,"2.25%",1,"0.25%",0,"0.00%",35,"8.75%",100,"25.00%",11,"2.75%",103,"25.75%",1,"0.25%",106,"26.50%",13530
"133",6,30,13.435,36.329,588,281,279,"47.79%",0,"0.00%",3,"1.08%",4,"1.43%",4,"1.43%",26,"9.32%",4,"1.43%",0,"0.00%",2,"0.72%",23,"8.24%",55,"19.71%",10,"3.58%",98,"35.13%",2,"0.72%",44,"15.77%",13435
"134",6,31,11.684,30.591,727,318,314,"43.74%",0,"0.00%",3,"0.96%",2,"0.64%",8,"2.55%",11,"3.50%",7,"2.23%",0,"0.00%",2,"0.64%",22,"7.01%",72,"22.93%",15,"4.78%",115,"36.62%",2,"0.64%",51,"16.24%",11684
"135",6,32,15.022,40.477,785,381,379,"48.54%",0,"0.00%",5,"1.32%",6,"1.58%",2,"0.53%",14,"3.69%",6,"1.58%",0,"0.00%",3,"0.79%",34,"8.97%",99,"26.12%",14,"3.69%",99,"26.12%",3,"0.79%",91,"24.01%",15022
"136",6,33,15.822,49.226,1070,555,550,"51.87%",0,"0.00%",20,"3.64%",15,"2.73%",9,"1.64%",30,"5.45%",6,"1.09%",0,"0.00%",3,"0.55%",32,"5.82%",109,"19.82%",29,"5.27%",201,"36.55%",2,"0.36%",85,"15.45%",15822
"137",7,1,16.672,46.899,1025,470,464,"45.85%",1,"0.21%",27,"5.82%",7,"1.51%",13,"2.80%",34,"7.33%",8,"1.72%",1,"0.22%",0,"0.00%",35,"7.54%",91,"19.61%",29,"6.25%",143,"30.82%",0,"0.00%",66,"14.22%",16672
"138",7,2,12.119,32.033,1540,674,672,"43.77%",0,"0.00%",5,"0.74%",13,"1.93%",5,"0.74%",24,"3.57%",8,"1.19%",1,"0.15%",2,"0.30%",28,"4.17%",264,"39.29%",29,"4.32%",183,"27.23%",3,"0.45%",101,"15.03%",12119
"139",7,3,9.892,29.025,1132,400,399,"35.34%",1,"0.25%",5,"1.25%",1,"0.25%",0,"0.00%",17,"4.26%",4,"1.00%",0,"0.00%",3,"0.75%",35,"8.77%",138,"34.59%",10,"2.51%",105,"26.32%",2,"0.50%",70,"17.54%",9892
"140",7,4,15.538,45.353,1869,894,890,"47.83%",1,"0.11%",21,"2.36%",21,"2.36%",13,"1.46%",59,"6.63%",20,"2.25%",2,"0.22%",4,"0.45%",101,"11.35%",213,"23.93%",28,"3.15%",224,"25.17%",0,"0.00%",167,"18.76%",15538
"141",7,5,17.138,47.819,1110,567,557,"51.08%",1,"0.18%",30,"5.39%",5,"0.90%",17,"3.05%",50,"8.98%",15,"2.69%",6,"1.08%",5,"0.90%",32,"5.75%",128,"22.98%",35,"6.28%",160,"28.73%",4,"0.72%",63,"11.31%",17138
